"identifier","score","Gene"
"8H8R",1,"COX6C"
"8H8S",1,"COX6C"
"7VUW",0.992882877481138,"COX6C"
"7VVR",0.992882877481138,"COX6C"
"7W3E",0.992882877481138,"COX6C"
"7Y44",0.992882877481138,"COX6C"
"7COH",0.944118541678779,"COX6C"
"1OCC",0.920736811353425,"COX6C"
"1OCO",0.920736811353425,"COX6C"
"1OCR",0.920736811353425,"COX6C"
"1OCZ",0.920736811353425,"COX6C"
"2EIJ",0.920736811353425,"COX6C"
"2EIM",0.920736811353425,"COX6C"
"2OCC",0.920736811353425,"COX6C"
"2Y69",0.920736811353425,"COX6C"
"7EV7",0.920736811353425,"COX6C"
"7XMA",0.920736811353425,"COX6C"
"7XMB",0.920736811353425,"COX6C"
