"identifier","score","Gene"
"1OLP",1,"PLAT"
"1HPL",0.991408738168932,"PLAT"
"1QM6",0.987124410069718,"PLAT"
"1RRL",0.985011580222255,"PLAT"
"2SBL",0.985011580222255,"PLAT"
"1QMD",0.982804845514405,"PLAT"
"2WY6",0.982804845514405,"PLAT"
"2IUJ",0.979107732660949,"PLAT"
"1GYG",0.978689912103634,"PLAT"
"5T5V",0.976854842327188,"PLAT"
"5TQN",0.976854842327188,"PLAT"
"5TQO",0.976854842327188,"PLAT"
"5TQP",0.976854842327188,"PLAT"
"5TR0",0.976854842327188,"PLAT"
"1KHO",0.975878786591023,"PLAT"
"2IUK",0.975004072555227,"PLAT"
"1RRH",0.973790451097465,"PLAT"
"1LNH",0.972295174081078,"PLAT"
"1NO3",0.972295174081078,"PLAT"
"1ROV",0.972295174081078,"PLAT"
"6U7M",0.971442180339828,"PLAT"
"7SOJ",0.968530480419863,"PLAT"
"1JNQ",0.966438131393617,"PLAT"
"1N8Q",0.966438131393617,"PLAT"
"2WXT",0.965723132349782,"PLAT"
