"identifier","score","Gene"
"4V46",1,"TNF"
"4QQL",0.990795583516821,"TNF"
"4E4S",0.990242619768995,"TNF"
"1RJ7",0.989165712797907,"TNF"
"1OQD",0.987290961730741,"TNF"
"1JH5",0.984366435679659,"TNF"
"1DU3",0.982224141815561,"TNF"
"1OQE",0.981095048261258,"TNF"
"1RJ8",0.970774757985507,"TNF"
"1KD7",0.968662995475883,"TNF"
"6A3V",0.967598930559047,"TNF"
"5HBA",0.967594712825542,"TNF"
"4QPY",0.965128912506518,"TNF"
"3B94",0.964984691201159,"TNF"
"1OSG",0.964911415950423,"TNF"
"4QQ2",0.962787063191531,"TNF"
"1KXG",0.961188793998279,"TNF"
"1O91",0.960941080843942,"TNF"
"1D0G",0.959313602272389,"TNF"
"4RSU",0.957530697073629,"TNF"
"1XU1",0.956246176892121,"TNF"
"5H4C",0.956073312769679,"TNF"
"3RWN",0.954706767114193,"TNF"
"4NN0",0.953313781935246,"TNF"
"1XU2",0.95221912271269,"TNF"
