"identifier","score","Gene"
"1Z1Y",1,"EGF"
"1N1I",0.998114688445106,"EGF"
"5MWF",0.997033807636269,"EGF"
"8E1Z",0.990355916260637,"EGF"
"1Z27",0.989211525484326,"EGF"
"5FMW",0.987905244859046,"EGF"
"1CCF",0.986991964604701,"EGF"
"1CEJ",0.986566430517457,"EGF"
"1IXA",0.984206178619967,"EGF"
"2K2T",0.983330537106564,"EGF"
"1WHE",0.982288246822923,"EGF"
"1WHF",0.982288246822923,"EGF"
"1EDM",0.981774283325925,"EGF"
"6A3V",0.981076798519647,"EGF"
"4V46",0.980453293307633,"EGF"
"1APO",0.979996523391699,"EGF"
"5VYG",0.979837402369649,"EGF"
"4LMF",0.979817587952003,"EGF"
"6DLW",0.979606205321841,"EGF"
"4D90",0.978084734929383,"EGF"
"7LER",0.977602180312758,"EGF"
"3QCW",0.977209958674393,"EGF"
"3R05",0.977209958674393,"EGF"
"2BO2",0.976433389249216,"EGF"
"1SZB",0.974212097852766,"EGF"
