"identifier","score","Gene"
"8SWJ",1,"TP53"
"8EOM",0.971257546601202,"TP53"
"8F0W",0.971257546601202,"TP53"
"6MXY",0.954581984485399,"TP53"
"6MY0",0.954581984485399,"TP53"
"6UPT",0.954581984485399,"TP53"
"6VA5",0.954581984485399,"TP53"
"6VIP",0.954581984485399,"TP53"
"8U4U",0.954581984485399,"TP53"
"5Z78",0.922891572756816,"TP53"
"5ZCJ",0.922891572756816,"TP53"
"6IU7",0.922891572756816,"TP53"
"6IUA",0.922891572756816,"TP53"
"7LIN",0.922891572756816,"TP53"
"7LIO",0.922891572756816,"TP53"
"8HKW",0.922891572756816,"TP53"
"1SSF",0.916573583748957,"TP53"
