"identifier","score","Gene"
"4N9H",1,"CRP"
"8YZ7",0.997728743243685,"CRP"
"4N9I",0.993961922232139,"CRP"
"3E97",0.990943716033384,"CRP"
"3B02",0.986641509294308,"CRP"
"2GAU",0.985991583094887,"CRP"
"7ETS",0.975797912859188,"CRP"
"1O5L",0.974552709279999,"CRP"
"3IWZ",0.964945989572314,"CRP"
"6DT4",0.963584395109732,"CRP"
"3DV8",0.963348405963013,"CRP"
"2ZCW",0.961955539546069,"CRP"
"3RDI",0.951197185400747,"CRP"
"3ROU",0.951197185400747,"CRP"
"3RPQ",0.951197185400747,"CRP"
"3RYR",0.951197185400747,"CRP"
"5W5B",0.947801125173553,"CRP"
"3PVN",0.944834853857584,"CRP"
"3PVO",0.944834853857584,"CRP"
"2GZW",0.944184064132795,"CRP"
"3QOP",0.939869459636665,"CRP"
"3RYP",0.939869459636665,"CRP"
"3L2Y",0.938647509562001,"CRP"
"7T8O",0.935165158478493,"CRP"
"1ZYB",0.934968583096738,"CRP"
