"identifier","score","Gene"
"4LMO",1,"TERT"
"1SCN",0.97223063148575,"TERT"
"8HU5",0.963944997512546,"TERT"
"8I50",0.963944997512546,"TERT"
"5CQG",0.957091807987377,"TERT"
"1WM1",0.953636125613128,"TERT"
"8HIS",0.952446312606082,"TERT"
"4O26",0.950643177117172,"TERT"
"3DU5",0.945904082618599,"TERT"
"3DU6",0.945904082618599,"TERT"
"1X2B",0.937491797108239,"TERT"
"7TM2",0.936384763368018,"TERT"
"2PU4",0.934683749481333,"TERT"
"1RXP",0.931387808118401,"TERT"
"1V6D",0.928767662757415,"TERT"
"4F8P",0.928767662757415,"TERT"
"3EYK",0.923868716084679,"TERT"
"1ELG",0.920204492209226,"TERT"
"4IVH",0.911443674118851,"TERT"
"1EPR",0.903924174488023,"TERT"
"1X2E",0.903924174488023,"TERT"
"2VS2",0.903924174488023,"TERT"
"6XCZ",0.903924174488023,"TERT"
"1IZH",0.903543182356648,"TERT"
"3KYL",0.903543182356648,"TERT"
