"identifier","score","Gene"
"1VJ7",1,"RELA"
"6S2V",0.974292060962463,"RELA"
"6YXA",0.969888269909744,"RELA"
"5XNX",0.962875320202277,"RELA"
"6S2T",0.961198804547247,"RELA"
"2KO1",0.959466477185148,"RELA"
"3IBW",0.959466477185148,"RELA"
"6S2U",0.952663864949892,"RELA"
"6LXG",0.951053480756634,"RELA"
"7DOJ",0.951053480756634,"RELA"
"5F2V",0.944626824528766,"RELA"
"7ZTB",0.939408429917734,"RELA"
"5DED",0.938706918502694,"RELA"
"8ACU",0.932860758139426,"RELA"
"7OHG",0.929003643530472,"RELA"
"8PU4",0.924566690119952,"RELA"
"3HVZ",0.924226717976332,"RELA"
"7OIW",0.924022873832921,"RELA"
"2BE3",0.918156846975585,"RELA"
"2KMM",0.917320212480271,"RELA"
"3L9D",0.917320212480271,"RELA"
