"identifier","score","Gene"
"4LWV",1,"MDM2"
"1V32",0.996345555742363,"MDM2"
"4JRG",0.995297339816035,"MDM2"
"4JSC",0.995297339816035,"MDM2"
"5VK1",0.991230136294821,"MDM2"
"1TTV",0.989789692066342,"MDM2"
"4LWT",0.98525997346624,"MDM2"
"4LWU",0.98525997346624,"MDM2"
"6V4E",0.985085226227788,"MDM2"
"4J3E",0.9848611244306,"MDM2"
"4IPF",0.983486151899957,"MDM2"
"4J74",0.983486151899957,"MDM2"
"4J7E",0.983486151899957,"MDM2"
"4J7D",0.98202938990409,"MDM2"
"1V31",0.978975961119843,"MDM2"
"3U15",0.977673348524907,"MDM2"
"4N5T",0.973904947399944,"MDM2"
"5UML",0.97114336589798,"MDM2"
"6Q9Q",0.969909501929576,"MDM2"
"2VYR",0.969406727440988,"MDM2"
"7AHY",0.967802704282063,"MDM2"
"4HBM",0.967571981751386,"MDM2"
"5VK0",0.964074562566801,"MDM2"
"6V4G",0.962274659323136,"MDM2"
"6Q9S",0.961121849182901,"MDM2"
