"identifier","score","Gene"
"5TGG",1,"A2M"
"2KWG",0.984173464817125,"A2M"
"7OW0",0.961400124363195,"A2M"
"7OXS",0.955904995667068,"A2M"
"8CLM",0.95318094515204,"A2M"
"4Y0I",1,"ABAT"
"1OHW",0.937440917272126,"ABAT"
"1OHY",0.937440917272126,"ABAT"
"4Y0D",0.937440917272126,"ABAT"
"4ZSW",0.937440917272126,"ABAT"
"4ZSY",0.937440917272126,"ABAT"
"7TDT",1,"ABCA1"
"7ROQ",0.967868593987082,"ABCA1"
"3WME",1,"ABCB1"
"3WMF",1,"ABCB1"
"6A6M",0.98939906020481,"ABCB1"
"3WMG",0.968857277692437,"ABCB1"
"6A6N",0.968857277692437,"ABCB1"
"6FN1",0.967667041265899,"ABCB1"
"6FN4",0.967667041265899,"ABCB1"
"7A65",0.950299063660816,"ABCB1"
"8Y6H",0.950299063660816,"ABCB1"
"7A69",0.93340324793027,"ABCB1"
"7A6C",0.93340324793027,"ABCB1"
"7A6E",0.93340324793027,"ABCB1"
"7A6F",0.93340324793027,"ABCB1"
"8Y6I",0.93340324793027,"ABCB1"
"6C0V",0.924231783573009,"ABCB1"
"7OTI",0.901351953656156,"ABCB1"
"6LR0",1,"ABCB11"
"7DV5",0.980280856397261,"ABCB11"
"7E1A",0.980280856397261,"ABCB11"
"8F4B",1,"ABCC1"
"5UJA",0.971458241139124,"ABCC1"
"6UY0",0.918998171351376,"ABCC1"
"8JX7",1,"ABCC2"
"8JY4",1,"ABCC2"
"8JY5",1,"ABCC2"
"8JXQ",0.981872760275063,"ABCC2"
"8JXU",0.947520746726497,"ABCC2"
"8HVH",1,"ABCC3"
"8HW2",1,"ABCC3"
"8HW4",0.981537970984894,"ABCC3"
"8XOK",1,"ABCC4"
"8XOL",0.968337120384393,"ABCC4"
"8XOM",0.938617813110944,"ABCC4"
"6VXF",1,"ABCG2"
"6VXI",0.98457775046491,"ABCG2"
"6VXJ",0.98457775046491,"ABCG2"
"6VXH",0.969623886408743,"ABCG2"
"7OJ8",0.954528881368031,"ABCG2"
"8BHT",0.954528881368031,"ABCG2"
"7OJH",0.939209632192589,"ABCG2"
"8BI0",0.939209632192589,"ABCG2"
"6HBU",0.934366237960186,"ABCG2"
"6FFC",0.911133170885969,"ABCG2"
"5NIV",0.909398961117597,"ABCG2"
"6ETI",0.905139666265398,"ABCG2"
"7NFD",0.905139666265398,"ABCG2"
"8CUB",1,"ABCG5"
"5DO7",0.982977918189678,"ABCG5"
"5DO7",1,"ABCG8"
"8CUB",0.975516696194664,"ABCG8"
"7R87",0.918376353796229,"ABCG8"
"7R88",0.918376353796229,"ABCG8"
"7R89",0.918376353796229,"ABCG8"
"7R8A",0.918376353796229,"ABCG8"
"7R8B",0.918376353796229,"ABCG8"
"8UB5",1,"ACE"
"1J9N",0.976589973982627,"ACE"
"6IMG",0.968894403082702,"ACE"
"6IMH",0.968894403082702,"ACE"
"8UN8",0.965091952891312,"ACE"
"6R9Z",0.961319216247721,"ACE"
"1J36",0.959572984360747,"ACE"
