"identifier","score","Gene"
"2HII",1,"PCNA"
"2IX2",0.996608941882002,"PCNA"
"2HIK",0.99546302473142,"PCNA"
"2IJX",0.990104331247095,"PCNA"
"3K4X",0.990104331247095,"PCNA"
"5DA7",0.990104331247095,"PCNA"
"2NTI",0.988912022399287,"PCNA"
"2IO4",0.988265615330664,"PCNA"
"5AUJ",0.986583690078849,"PCNA"
"7O1E",0.984880348633906,"PCNA"
"3IFV",0.983408905347786,"PCNA"
"1RWZ",0.982737221138543,"PCNA"
"1RXM",0.982737221138543,"PCNA"
"6T7X",0.982737221138543,"PCNA"
"1IZ4",0.980248719824433,"PCNA"
"1IZ5",0.97892079519592,"PCNA"
"1UD9",0.975945754170336,"PCNA"
"7WP3",0.975945754170336,"PCNA"
"3HI8",0.971375960848062,"PCNA"
"3LX1",0.968970650886974,"PCNA"
"3LX2",0.968448819702319,"PCNA"
"1GE8",0.964152429724421,"PCNA"
"5A6D",0.964071319663407,"PCNA"
"8GJ5",0.96400372291862,"PCNA"
"7N5M",0.96394647230657,"PCNA"
