"identifier","score","Gene"
"1FU0",1,"HPR"
"1Y51",0.999679271184476,"HPR"
"1Y4Y",0.999422169465676,"HPR"
"3LFG",0.999170495650862,"HPR"
"3LE3",0.998650321518877,"HPR"
"3LNW",0.997855796995426,"HPR"
"1MO1",0.99764067106745,"HPR"
"1SPH",0.997304201330367,"HPR"
"3LE1",0.99714811893575,"HPR"
"1PTF",0.996695250813191,"HPR"
"3IHS",0.996116033147848,"HPR"
"1KA5",0.995771180314609,"HPR"
"2RLZ",0.995771180314609,"HPR"
"3LE5",0.995771180314609,"HPR"
"1QR5",0.995019837782868,"HPR"
"1QFR",0.994302751356282,"HPR"
"1MU4",0.994029124685347,"HPR"
"1K1C",0.992420655804184,"HPR"
"2AK7",0.991765085622773,"HPR"
"1KKL",0.989401836537345,"HPR"
"1KKM",0.989401836537345,"HPR"
"7FF5",0.988130138943486,"HPR"
"1Y50",0.987710984135684,"HPR"
"2HID",0.987710984135684,"HPR"
"2HPR",0.987710984135684,"HPR"
